_id,Year,Month,Month name,Metropolitan train,Metropolitan tram,Metropolitan bus,Regional train,Regional coach,Regional bus
1,2018,1,January,"16,809,932","15,231,368","7,568,547","1,466,256","116,568","721,229"
2,2018,2,February,"19,554,477","16,980,925","10,487,311","1,522,981","103,197","1,118,494"
3,2018,3,March,"22,659,010","19,832,126","11,528,895","1,809,774","117,180","1,224,816"
4,2018,4,April,"20,312,040","16,919,872","9,592,750","1,684,827","107,480","946,218"
5,2018,5,May,"22,768,447","17,691,427","11,263,486","1,790,656","109,456","1,258,704"
6,2018,6,June,"19,284,755","15,836,171","9,526,795","1,535,636","101,215","1,077,970"
7,2018,7,July,"20,732,099","17,169,239","9,657,327","1,799,245","109,103","967,622"
8,2018,8,August,"22,566,766","18,415,592","11,756,706","1,845,673","110,348","1,261,319"
9,2018,9,September,"20,056,487","15,892,774","9,878,596","1,676,490","104,525","1,033,758"
10,2018,10,October,"22,299,761","18,677,490","11,233,979","1,872,410","121,267","1,232,418"
11,2018,11,November,"20,806,123","17,398,998","10,367,915","1,755,492","111,699","1,182,863"
12,2018,12,December,"16,665,365","15,404,107","7,941,245","1,534,399","113,023","878,944"
13,2019,1,January,"17,074,623","15,695,535","7,845,144","1,532,342","110,708","748,369"
14,2019,2,February,"20,011,823","16,485,000","10,105,546","1,676,391","103,886","1,201,991"
15,2019,3,March,"22,250,796","19,456,794","11,775,566","1,916,630","112,302","1,232,933"
16,2019,4,April,"18,579,825","17,400,302","9,667,587","1,722,745","111,012","961,318"
17,2019,5,May,"23,045,436","18,410,816","12,082,141","2,007,166","111,604","1,287,180"
18,2019,6,June,"19,099,513","15,041,547","9,515,676","1,704,331","98,137","1,084,632"
19,2019,7,July,"20,771,347","16,784,796","10,417,277","1,898,701","108,706","1,083,306"
20,2019,8,August,"22,618,021","17,578,879","11,485,155","1,981,136","107,987","1,275,349"
21,2019,9,September,"20,593,343","15,733,247","10,238,956","1,805,116","104,419","1,089,826"
22,2019,10,October,"22,429,337","16,917,616","11,294,945","1,927,784","115,819","1,212,228"
23,2019,11,November,"20,413,342","15,344,062","10,405,336","1,728,907","106,782","1,126,220"
24,2019,12,December,"17,890,229","13,736,921","8,858,522","1,648,394","110,447","873,469"
25,2020,1,January,"17,015,987","13,396,238","8,369,145","1,684,792","105,751","764,361"
26,2020,2,February,"19,811,543","14,656,787","10,407,862","1,771,293","99,955","1,276,038"
27,2020,3,March,"13,746,958","9,602,985","7,600,641","1,252,698","74,665","947,946"
28,2020,4,April,"2,165,747","1,376,119","1,507,175","245,905","17,602","227,342"
29,2020,5,May,"3,670,296","2,587,250","2,539,068","374,640","29,670","368,116"
30,2020,6,June,"6,432,121","4,080,847","4,752,862","580,767","51,732","763,812"
31,2020,7,July,"3,963,903","2,505,061","3,170,618","425,103","41,425","769,837"
32,2020,8,August,"1,887,499","1,224,017","1,793,958","222,256","17,890","343,285"
33,2020,9,September,"1,931,257","1,245,928","2,038,847","257,723","23,051","380,397"
34,2020,10,October,"3,388,960","2,130,346","3,769,166","365,653","36,990","848,872"
35,2020,11,November,"6,439,402","4,511,166","5,795,635","593,115","51,260","911,034"
36,2020,12,December,"7,868,276","5,995,164","5,885,341","894,120","74,068","666,297"
37,2021,1,January,"7,231,312","5,553,277","4,805,284","738,979","60,026","484,867"
38,2021,2,February,"7,822,660","5,882,295","5,617,752","759,259","54,099","797,454"
39,2021,3,March,"11,852,314","8,750,223","7,645,169","1,182,831","75,765","1,009,127"
40,2021,4,April,"11,632,636","9,123,455","6,628,991","1,199,886","75,002","697,503"
41,2021,5,May,"11,375,712","8,761,433","6,962,665","1,117,254","66,206","811,685"
42,2021,6,June,"6,321,515","4,557,256","4,452,322","624,054","46,233","693,393"
43,2021,7,July,"7,512,489","5,093,722","4,722,392","688,891","45,599","599,227"
44,2021,8,August,"3,954,587","2,686,330","3,102,190","444,102","33,264","707,880"
45,2021,9,September,"2,769,485","1,910,362","2,405,774","257,172","23,838","451,102"
46,2021,10,October,"3,995,863","3,102,681","3,435,761","376,222","33,948","656,824"
47,2021,11,November,"8,341,146","7,034,365","6,453,897","759,913","55,165","855,704"
48,2021,12,December,"9,127,862","8,359,146","5,912,880","994,159","67,426","688,849"
49,2022,1,January,"5,778,986","5,372,999","4,124,071","675,856","51,750","549,859"
50,2022,2,February,"8,382,008","7,962,117","6,205,045","865,020","57,210","985,731"
51,2022,3,March,"13,045,722","11,614,262","8,476,974","1,298,156","73,664","1,060,923"
52,2022,4,April,"11,890,697","10,065,400","6,870,377","1,220,454","73,735","838,558"
53,2022,5,May,"12,833,409","10,150,913","7,779,324","1,288,118","71,603","1,121,794"
54,2022,6,June,"11,842,624","9,590,565","6,943,793","1,239,135","70,919","926,422"
55,2022,7,July,"12,019,600","11,129,287","7,332,966","1,314,106","75,239","975,473"
56,2022,8,August,"13,095,346","12,361,088","8,338,393","1,349,992","74,401","1,098,964"
57,2022,9,September,"12,936,260","11,791,504","7,472,155","1,378,784","74,648","858,200"
58,2022,10,October,"12,909,284","12,080,170","8,156,542","1,388,467","68,919","1,159,113"
59,2022,11,November,"13,072,188","12,137,205","8,312,554","1,366,061","74,053","1,035,487"
60,2022,12,December,"11,867,965","10,945,095","7,434,002","1,372,918","85,612","863,993"
61,2023,1,January,"10,109,375","12,245,668","7,090,984","1,295,225","84,946","820,221"
62,2023,2,February,"12,831,622","12,894,448","8,608,284","1,424,645","77,949","1,096,006"
63,2023,3,March,"16,527,142","15,292,063","10,301,621","1,869,164","88,964","1,247,122"
64,2023,4,April,"13,288,137","12,402,173","8,124,564","1,469,224","89,335","938,444"
65,2023,5,May,"15,312,507","12,760,569","9,848,630","1,743,181","95,859","1,222,849"
66,2023,6,June,"13,115,087","11,602,791","8,635,816","1,693,444","94,894","1,049,480"
67,2023,7,July,"14,020,167","12,335,062","9,219,892","1,846,565","99,755","1,148,259"
68,2023,8,August,"16,437,412","13,280,460","10,304,037","1,807,251","98,413","1,255,113"
69,2023,9,September,"14,847,177","12,149,257","9,260,131","1,775,964","100,982","1,103,635"
70,2023,10,October,"15,199,277","12,453,509","10,083,249","1,849,701","106,717","1,242,909"
71,2023,11,November,"14,653,512","12,503,061","9,872,183","1,808,656","104,648","1,190,730"
72,2023,12,December,"13,516,661","12,173,168","8,548,817","1,759,529","111,120","1,009,701"
73,2024,1,January,"13,254,775","11,821,351","8,335,210","1,758,433","113,350","841,044"
74,2024,2,February,"15,828,610","13,427,105","10,441,479","1,781,717","104,337","1,115,173"
75,2024,3,March,"17,171,572","14,840,535","10,596,736","2,042,080","112,283","1,116,628"
76,2024,4,April,"15,943,432","14,241,713","9,271,098","2,009,412","114,813","1,056,862"
77,2024,5,May,"17,201,139","13,914,626","10,256,661","2,164,662","109,868","1,247,979"
78,2024,6,June,"14,454,677","11,656,478","8,706,404","1,882,061","104,351","994,915"
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
